編號,地震時間,經度,緯度,規模,深度,位置
70,2024/4/3 14:31,121.528,23.9098,4.7,10.5,花蓮縣政府西南方  13.0  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
69,2024/4/3 14:28,120.284,23.4623,4.3,15.5,嘉義縣政府西北西方  1.0  公里 (位於嘉義縣朴子市)(嘉義縣朴子市)
68,2024/4/3 14:10,121.671,24.1542,4.6,16.5,花蓮縣政府北北東方  18.8  公里 (位於花蓮縣近海)(花蓮縣近海)
67,2024/4/3 14:09,121.684,24.1488,4.2,18,花蓮縣政府北北東方  18.6  公里 (位於花蓮縣近海)(花蓮縣近海)
66,2024/4/3 13:38,121.564,23.9215,4,5.7,花蓮縣政府西南方  9.6  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
65,2024/4/3 13:33,121.75,24.203,4.3,8.6,花蓮縣政府北北東方  27.0  公里 (位於花蓮縣近海)(花蓮縣近海)
64,2024/4/3 13:28,121.695,24.1718,4.6,8.4,花蓮縣政府北北東方  21.4  公里 (位於花蓮縣近海)(花蓮縣近海)
63,2024/4/3 13:23,121.69,24.0993,4.9,41,花蓮縣政府北北東方  13.9  公里 (位於花蓮縣近海)(花蓮縣近海)
62,2024/4/3 13:22,121.574,23.919,4,8.4,花蓮縣政府南南西方  9.2  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
61,2024/4/3 12:56,121.75,24.2675,4.5,14.5,花蓮縣政府北北東方  33.3  公里 (位於花蓮縣近海)(花蓮縣近海)
60,2024/4/3 12:48,121.722,24.203,4.1,9.1,花蓮縣政府北北東方  25.7  公里 (位於花蓮縣近海)(花蓮縣近海)
59,2024/4/3 12:36,121.655,24.0785,4.7,26.7,花蓮縣政府北北東方  10.3  公里 (位於花蓮縣近海)(花蓮縣近海)
58,2024/4/3 12:21,121.681,24.117,4.1,6.7,花蓮縣政府北北東方  15.3  公里 (位於花蓮縣近海)(花蓮縣近海)
57,2024/4/3 11:57,121.593,23.828,5.2,17.4,花蓮縣政府南方  18.3  公里 (位於花蓮縣近海)(花蓮縣近海)
56,2024/4/3 11:45,121.845,23.7855,4.8,6.2,花蓮縣政府東南方  32.3  公里 (位於臺灣東部海域)(臺灣東部海域)
55,2024/4/3 11:37,121.544,23.9183,4.1,7,花蓮縣政府西南方  11.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
54,2024/4/3 11:22,121.682,24.167,4.2,13.5,花蓮縣政府北北東方  20.5  公里 (位於花蓮縣近海)(花蓮縣近海)
53,2024/4/3 11:20,121.665,24.162,4.9,30.6,花蓮縣政府北北東方  19.5  公里 (位於花蓮縣近海)(花蓮縣近海)
52,2024/4/3 11:12,121.641,23.8742,4.6,33.7,花蓮縣政府南方  13.1  公里 (位於花蓮縣近海)(花蓮縣近海)
51,2024/4/3 11:11,121.673,24.1365,4.2,17.6,花蓮縣政府北北東方  17.0  公里 (位於花蓮縣近海)(花蓮縣近海)
50,2024/4/3 11:01,121.777,24.1603,4.4,30,花蓮縣政府東北方  24.6  公里 (位於臺灣東部海域)(臺灣東部海域)
49,2024/4/3 10:35,121.627,24.0878,4,11,花蓮縣政府北方  10.7  公里 (位於花蓮縣近海)(花蓮縣近海)
48,2024/4/3 10:28,121.79,24.2178,5.3,10,花蓮縣政府東北方  30.5  公里 (位於臺灣東部海域)(臺灣東部海域)
47,2024/4/3 10:23,121.666,24.1455,4.9,17,花蓮縣政府北北東方  17.7  公里 (位於花蓮縣近海)(花蓮縣近海)
46,2024/4/3 10:20,121.649,23.9198,4.5,38.6,花蓮縣政府南南東方  8.4  公里 (位於花蓮縣近海)(花蓮縣近海)
45,2024/4/3 10:14,121.93,24.145,6.2,17.1,花蓮縣政府東北東方  35.8  公里 (位於臺灣東部海域)(臺灣東部海域)
44,2024/4/3 10:13,121.806,24.229,4.7,3.7,花蓮縣政府東北方  32.4  公里 (位於臺灣東部海域)(臺灣東部海域)
43,2024/4/3 09:53,121.554,23.8682,5.1,16.1,花蓮縣政府南南西方  15.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
42,2024/4/3 09:49,121.789,23.8012,5.1,12.1,花蓮縣政府東南方  27.2  公里 (位於臺灣東部海域)(臺灣東部海域)
41,2024/4/3 09:45,121.676,24.0992,4.2,9,花蓮縣政府北北東方  13.3  公里 (位於花蓮縣近海)(花蓮縣近海)
40,2024/4/3 09:39,121.725,23.8385,5.7,8.1,花蓮縣政府東南方  20.0  公里 (位於臺灣東部海域)(臺灣東部海域)
39,2024/4/3 09:17,121.683,24.0382,5,35.1,花蓮縣政府東北方  8.2  公里 (位於花蓮縣近海)(花蓮縣近海)
38,2024/4/3 09:16,121.9,24.1855,4.4,21.7,花蓮縣政府東北方  35.7  公里 (位於臺灣東部海域)(臺灣東部海域)
37,2024/4/3 09:15,121.687,24.1333,4.4,35.3,花蓮縣政府北北東方  17.2  公里 (位於花蓮縣近海)(花蓮縣近海)
36,2024/4/3 09:13,121.668,24.0628,4.9,38.6,花蓮縣政府東北方  9.4  公里 (位於花蓮縣近海)(花蓮縣近海)
35,2024/4/3 09:11,121.67,24.063,4.4,50.9,花蓮縣政府東北方  9.5  公里 (位於花蓮縣近海)(花蓮縣近海)
34,2024/4/3 09:09,121.775,24.1095,5.4,25.4,花蓮縣政府東北方  20.5  公里 (位於臺灣東部海域)(臺灣東部海域)
33,2024/4/3 09:07,121.708,24.043,4.9,20,花蓮縣政府東北東方  10.7  公里 (位於花蓮縣近海)(花蓮縣近海)
32,2024/4/3 08:54,121.623,23.7967,4.7,36.8,花蓮縣政府南方  21.5  公里 (位於花蓮縣近海)(花蓮縣近海)
31,2024/4/3 08:50,121.569,23.8353,5.4,21.6,花蓮縣政府南南西方  18.0  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
30,2024/4/3 08:46,121.689,24.1898,5.4,3.1,花蓮縣政府北北東方  23.1  公里 (位於花蓮縣近海)(花蓮縣近海)
29,2024/4/3 08:41,121.613,23.9613,4.6,24.1,花蓮縣政府南南西方  3.4  公里 (位於花蓮縣近海)(花蓮縣近海)
28,2024/4/3 08:39,121.678,24.254,4.5,1.4,花蓮縣政府北北東方  29.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
27,2024/4/3 08:37,121.551,23.9863,4.7,13.6,花蓮縣政府西方  7.1  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
26,2024/4/3 08:35,121.716,24.2313,5.6,14.6,花蓮縣政府北北東方  28.4  公里 (位於花蓮縣近海)(花蓮縣近海)
25,2024/4/3 08:30,121.865,24.2452,4.6,2.4,花蓮縣政府東北方  37.6  公里 (位於臺灣東部海域)(臺灣東部海域)
24,2024/4/3 08:27,121.571,23.8257,4.9,20.1,花蓮縣政府南南西方  19.0  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
23,2024/4/3 08:23,121.651,23.9642,4.4,30.8,花蓮縣政府東南方  4.3  公里 (位於花蓮縣近海)(花蓮縣近海)
22,2024/4/3 08:17,121.724,24.0285,5.4,32.2,花蓮縣政府東北東方  11.4  公里 (位於花蓮縣近海)(花蓮縣近海)
21,2024/4/3 08:11,121.659,24.1003,6.5,5.5,花蓮縣政府北北東方  12.7  公里 (位於花蓮縣近海)(花蓮縣近海)
20,2024/4/3 08:00,121.67,23.8712,5.3,25.4,花蓮縣政府南南東方  14.2  公里 (位於花蓮縣近海)(花蓮縣近海)
19,2024/4/3 07:58,121.665,23.769,7.2,15.5,花蓮縣政府南南東方  25.0  公里 (位於臺灣東部海域)(臺灣東部海域)
18,2024/4/3 03:26,120.191,23.3768,4.8,7.4,嘉義縣政府西南方  13.8  公里 (位於嘉義縣布袋鎮)(嘉義縣布袋鎮)
