TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量,Rains
2024/05/26,18:45,0,1,01F0578S,01F0633S,5,82,3,
2024/05/26,18:45,0,1,01F0633S,01F0664S,31,93,171,
2024/05/26,18:45,0,1,01F0633S,01F0664S,32,91,38,
2024/05/26,18:45,0,1,01F0633S,01F0664S,41,75,2,
2024/05/26,18:45,0,1,01F0633S,01F0664S,42,90,1,
2024/05/26,18:45,0,1,01F0633S,01F0664S,5,90,1,
2024/05/26,18:45,0,1,01F0633N,01H0579N,31,82,48,
2024/05/26,18:45,0,1,01F0633N,01H0579N,32,79,12,
2024/05/26,18:45,0,1,01F0633N,01H0579N,41,72,3,
2024/05/26,18:45,0,1,01F0633N,01H0579N,42,0,0,
2024/05/26,18:45,0,1,01F0633N,01H0579N,5,0,0,
2024/05/26,18:45,0,1,01F0578S,01H0610S,31,82,47,
2024/05/26,18:45,0,1,01F0578S,01H0610S,32,82,11,
2024/05/26,18:45,0,1,01F0578S,01H0610S,41,88,2,
2024/05/26,18:45,0,1,01F0578S,01H0610S,42,0,0,
2024/05/26,18:45,0,1,01F0578S,01H0610S,5,0,0,
2024/05/26,18:50,0,1,01F0584N,01F0557N,31,86,231,
2024/05/26,18:50,0,1,01F0584N,01F0557N,32,86,40,
2024/05/26,18:50,0,1,01F0584N,01F0557N,41,82,5,
2024/05/26,18:50,0,1,01F0584N,01F0557N,42,79,1,
2024/05/26,18:50,0,1,01F0584N,01F0557N,5,79,2,
2024/05/26,18:50,0,1,01F0633N,01F0584N,31,86,183,
2024/05/26,18:50,0,1,01F0633N,01F0584N,32,86,33,
2024/05/26,18:50,0,1,01F0633N,01F0584N,41,72,5,
2024/05/26,18:50,0,1,01F0633N,01F0584N,42,82,1,
2024/05/26,18:50,0,1,01F0633N,01F0584N,5,75,4,
2024/05/26,18:50,0,1,01F0578S,01F0633S,31,86,162,
2024/05/26,18:50,0,1,01F0578S,01F0633S,32,86,30,
2024/05/26,18:50,0,1,01F0578S,01F0633S,41,82,2,
2024/05/26,18:50,0,1,01F0578S,01F0633S,42,79,3,
2024/05/26,18:50,0,1,01F0578S,01F0633S,5,82,5,
2024/05/26,18:50,0,1,01F0633S,01F0664S,31,90,149,
2024/05/26,18:50,0,1,01F0633S,01F0664S,32,90,22,
2024/05/26,18:50,0,1,01F0633S,01F0664S,41,84,2,
