TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量,Rains
2024/05/26,17:10,0,1,01F0578S,01H0610S,42,0,0,1
2024/05/26,17:10,0,1,01F0578S,01H0610S,5,0,0,1
2024/05/26,17:15,0,1,01F0584N,01F0557N,31,86,266,1
2024/05/26,17:15,0,1,01F0584N,01F0557N,32,86,57,1
2024/05/26,17:15,0,1,01F0584N,01F0557N,41,82,3,1
2024/05/26,17:15,0,1,01F0584N,01F0557N,42,75,2,1
2024/05/26,17:15,0,1,01F0584N,01F0557N,5,79,1,1
2024/05/26,17:15,0,1,01F0633N,01F0584N,31,61,230,1
2024/05/26,17:15,0,1,01F0633N,01F0584N,32,61,40,1
2024/05/26,17:15,0,1,01F0633N,01F0584N,41,61,1,1
2024/05/26,17:15,0,1,01F0633N,01F0584N,42,57,1,1
2024/05/26,17:15,0,1,01F0633N,01F0584N,5,61,1,1
2024/05/26,17:15,0,1,01F0578S,01F0633S,31,86,182,1
2024/05/26,17:15,0,1,01F0578S,01F0633S,32,86,31,1
2024/05/26,17:15,0,1,01F0578S,01F0633S,41,79,3,1
2024/05/26,17:15,0,1,01F0578S,01F0633S,42,81,2,1
2024/05/26,17:15,0,1,01F0578S,01F0633S,5,77,2,1
2024/05/26,17:15,0,1,01F0633S,01F0664S,31,93,195,1
2024/05/26,17:15,0,1,01F0633S,01F0664S,32,93,35,1
2024/05/26,17:15,0,1,01F0633S,01F0664S,41,91,6,1
2024/05/26,17:15,0,1,01F0633S,01F0664S,42,0,0,1
2024/05/26,17:15,0,1,01F0633S,01F0664S,5,82,1,1
2024/05/26,17:15,0,1,01F0633N,01H0579N,31,64,52,1
2024/05/26,17:15,0,1,01F0633N,01H0579N,32,64,7,1
2024/05/26,17:15,0,1,01F0633N,01H0579N,41,64,1,1
2024/05/26,17:15,0,1,01F0633N,01H0579N,42,0,0,1
2024/05/26,17:15,0,1,01F0633N,01H0579N,5,0,0,1
2024/05/26,17:15,0,1,01F0578S,01H0610S,31,82,48,1
2024/05/26,17:15,0,1,01F0578S,01H0610S,32,79,11,1
2024/05/26,17:15,0,1,01F0578S,01H0610S,41,72,1,1
2024/05/26,17:15,0,1,01F0578S,01H0610S,42,0,0,1
2024/05/26,17:15,0,1,01F0578S,01H0610S,5,0,0,1
2024/05/26,17:20,0,1,01F0584N,01F0557N,31,90,280,1
2024/05/26,17:20,0,1,01F0584N,01F0557N,32,86,52,1
2024/05/26,17:20,0,1,01F0584N,01F0557N,41,86,3,1
2024/05/26,17:20,0,1,01F0584N,01F0557N,42,79,4,1
2024/05/26,17:20,0,1,01F0584N,01F0557N,5,0,0,1
2024/05/26,17:20,0,1,01F0633N,01F0584N,31,64,197,1
2024/05/26,17:20,0,1,01F0633N,01F0584N,32,64,47,1
2024/05/26,17:20,0,1,01F0633N,01F0584N,41,63,2,1
2024/05/26,17:20,0,1,01F0633N,01F0584N,42,61,7,1
2024/05/26,17:20,0,1,01F0633N,01F0584N,5,57,1,1
2024/05/26,17:20,0,1,01F0578S,01F0633S,31,86,191,1
2024/05/26,17:20,0,1,01F0578S,01F0633S,32,82,31,1
2024/05/26,17:20,0,1,01F0578S,01F0633S,41,43,2,1
2024/05/26,17:20,0,1,01F0578S,01F0633S,42,73,2,1
2024/05/26,17:20,0,1,01F0578S,01F0633S,5,75,5,1
2024/05/26,17:20,0,1,01F0633S,01F0664S,31,86,217,1
2024/05/26,17:20,0,1,01F0633S,01F0664S,32,86,34,1
2024/05/26,17:20,0,1,01F0633S,01F0664S,41,81,6,1
2024/05/26,17:20,0,1,01F0633S,01F0664S,42,86,2,1
2024/05/26,17:20,0,1,01F0633S,01F0664S,5,70,4,1
2024/05/26,17:20,0,1,01F0633N,01H0579N,31,68,55,1
2024/05/26,17:20,0,1,01F0633N,01H0579N,32,68,10,1
2024/05/26,17:20,0,1,01F0633N,01H0579N,41,0,0,1
2024/05/26,17:20,0,1,01F0633N,01H0579N,42,0,0,1
2024/05/26,17:20,0,1,01F0633N,01H0579N,5,0,0,1
2024/05/26,17:20,0,1,01F0578S,01H0610S,31,82,44,1
2024/05/26,17:20,0,1,01F0578S,01H0610S,32,82,8,1
2024/05/26,17:20,0,1,01F0578S,01H0610S,41,0,0,1
2024/05/26,17:20,0,1,01F0578S,01H0610S,42,0,0,1
2024/05/26,17:20,0,1,01F0578S,01H0610S,5,0,0,1
2024/05/26,17:25,0,1,01F0584N,01F0557N,31,86,249,1
2024/05/26,17:25,0,1,01F0584N,01F0557N,32,90,59,1
2024/05/26,17:25,0,1,01F0584N,01F0557N,41,79,3,1
2024/05/26,17:25,0,1,01F0584N,01F0557N,42,79,3,1
2024/05/26,17:25,0,1,01F0584N,01F0557N,5,79,3,1
2024/05/26,17:25,0,1,01F0633N,01F0584N,31,68,207,1
2024/05/26,17:25,0,1,01F0633N,01F0584N,32,64,54,1
2024/05/26,17:25,0,1,01F0633N,01F0584N,41,61,1,1
2024/05/26,17:25,0,1,01F0633N,01F0584N,42,64,5,1
2024/05/26,17:25,0,1,01F0633N,01F0584N,5,64,1,1
2024/05/26,17:25,0,1,01F0578S,01F0633S,31,79,187,1
2024/05/26,17:25,0,1,01F0578S,01F0633S,32,75,31,1
2024/05/26,17:25,0,1,01F0578S,01F0633S,41,68,2,1
2024/05/26,17:25,0,1,01F0578S,01F0633S,42,72,4,1
2024/05/26,17:25,0,1,01F0578S,01F0633S,5,70,2,1
2024/05/26,17:25,0,1,01F0633S,01F0664S,31,90,215,1
2024/05/26,17:25,0,1,01F0633S,01F0664S,32,90,32,1
2024/05/26,17:25,0,1,01F0633S,01F0664S,41,82,3,1
2024/05/26,17:25,0,1,01F0633S,01F0664S,42,82,3,1
2024/05/26,17:25,0,1,01F0633S,01F0664S,5,72,4,1
2024/05/26,17:25,0,1,01F0633N,01H0579N,31,68,66,1
2024/05/26,17:25,0,1,01F0633N,01H0579N,32,63,16,1
2024/05/26,17:25,0,1,01F0633N,01H0579N,41,0,0,1
2024/05/26,17:25,0,1,01F0633N,01H0579N,42,0,0,1
2024/05/26,17:25,0,1,01F0633N,01H0579N,5,0,0,1
2024/05/26,17:25,0,1,01F0578S,01H0610S,31,82,59,1
2024/05/26,17:25,0,1,01F0578S,01H0610S,32,79,8,1
2024/05/26,17:25,0,1,01F0578S,01H0610S,41,73,2,1
2024/05/26,17:25,0,1,01F0578S,01H0610S,42,0,0,1
2024/05/26,17:25,0,1,01F0578S,01H0610S,5,0,0,1
2024/05/26,17:30,0,1,01F0584N,01F0557N,31,90,241,1
2024/05/26,17:30,0,1,01F0584N,01F0557N,32,90,61,1
2024/05/26,17:30,0,1,01F0584N,01F0557N,41,84,10,1
2024/05/26,17:30,0,1,01F0584N,01F0557N,42,84,2,1
2024/05/26,17:30,0,1,01F0584N,01F0557N,5,82,1,1
2024/05/26,17:30,0,1,01F0633N,01F0584N,31,68,221,1
2024/05/26,17:30,0,1,01F0633N,01F0584N,32,72,60,1
2024/05/26,17:30,0,1,01F0633N,01F0584N,41,37,2,1
2024/05/26,17:30,0,1,01F0633N,01F0584N,42,70,4,1
2024/05/26,17:30,0,1,01F0633N,01F0584N,5,54,1,1
2024/05/26,17:30,0,1,01F0578S,01F0633S,31,79,177,1
2024/05/26,17:30,0,1,01F0578S,01F0633S,32,75,43,1
2024/05/26,17:30,0,1,01F0578S,01F0633S,41,68,5,1
2024/05/26,17:30,0,1,01F0578S,01F0633S,42,72,3,1
2024/05/26,17:30,0,1,01F0578S,01F0633S,5,64,2,1
2024/05/26,17:30,0,1,01F0633S,01F0664S,31,90,194,1
2024/05/26,17:30,0,1,01F0633S,01F0664S,32,90,39,1
2024/05/26,17:30,0,1,01F0633S,01F0664S,41,79,9,1
2024/05/26,17:30,0,1,01F0633S,01F0664S,42,82,1,1
2024/05/26,17:30,0,1,01F0633S,01F0664S,5,79,1,1
2024/05/26,17:30,0,1,01F0633N,01H0579N,31,68,66,1
2024/05/26,17:30,0,1,01F0633N,01H0579N,32,68,17,1
2024/05/26,17:30,0,1,01F0633N,01H0579N,41,0,0,1
2024/05/26,17:30,0,1,01F0633N,01H0579N,42,0,0,1
2024/05/26,17:30,0,1,01F0633N,01H0579N,5,0,0,1
2024/05/26,17:30,0,1,01F0578S,01H0610S,31,82,51,1
2024/05/26,17:30,0,1,01F0578S,01H0610S,32,79,11,1
2024/05/26,17:30,0,1,01F0578S,01H0610S,41,75,1,1
2024/05/26,17:30,0,1,01F0578S,01H0610S,42,0,0,1
2024/05/26,17:30,0,1,01F0578S,01H0610S,5,0,0,1
2024/05/26,17:35,0,1,01F0584N,01F0557N,31,90,266,1
2024/05/26,17:35,0,1,01F0584N,01F0557N,32,86,61,1
2024/05/26,17:35,0,1,01F0584N,01F0557N,41,82,7,1
2024/05/26,17:35,0,1,01F0584N,01F0557N,42,79,5,1
2024/05/26,17:35,0,1,01F0584N,01F0557N,5,86,1,1
2024/05/26,17:35,0,1,01F0633N,01F0584N,31,86,199,1
2024/05/26,17:35,0,1,01F0633N,01F0584N,32,82,43,1
2024/05/26,17:35,0,1,01F0633N,01F0584N,41,81,4,1
2024/05/26,17:35,0,1,01F0633N,01F0584N,42,79,6,1
2024/05/26,17:35,0,1,01F0633N,01F0584N,5,81,2,1
2024/05/26,17:35,0,1,01F0578S,01F0633S,31,86,179,1
2024/05/26,17:35,0,1,01F0578S,01F0633S,32,82,30,1
2024/05/26,17:35,0,1,01F0578S,01F0633S,41,73,4,1
2024/05/26,17:35,0,1,01F0578S,01F0633S,42,79,2,1
2024/05/26,17:35,0,1,01F0578S,01F0633S,5,81,2,1
2024/05/26,17:35,0,1,01F0633S,01F0664S,31,93,208,1
2024/05/26,17:35,0,1,01F0633S,01F0664S,32,90,35,1
2024/05/26,17:35,0,1,01F0633S,01F0664S,41,86,8,1
2024/05/26,17:35,0,1,01F0633S,01F0664S,42,84,2,1
2024/05/26,17:35,0,1,01F0633S,01F0664S,5,82,1,1
2024/05/26,17:35,0,1,01F0633N,01H0579N,31,82,59,1
2024/05/26,17:35,0,1,01F0633N,01H0579N,32,86,6,1
2024/05/26,17:35,0,1,01F0633N,01H0579N,41,43,3,1
2024/05/26,17:35,0,1,01F0633N,01H0579N,42,0,0,1
2024/05/26,17:35,0,1,01F0633N,01H0579N,5,0,0,1
2024/05/26,17:35,0,1,01F0578S,01H0610S,31,84,62,1
2024/05/26,17:35,0,1,01F0578S,01H0610S,32,82,8,1
2024/05/26,17:35,0,1,01F0578S,01H0610S,41,75,3,1
2024/05/26,17:35,0,1,01F0578S,01H0610S,42,0,0,1
2024/05/26,17:35,0,1,01F0578S,01H0610S,5,0,0,1
2024/05/26,17:40,0,1,01F0584N,01F0557N,31,90,265,1
2024/05/26,17:40,0,1,01F0584N,01F0557N,32,90,54,1
2024/05/26,17:40,0,1,01F0584N,01F0557N,41,86,5,1
2024/05/26,17:40,0,1,01F0584N,01F0557N,42,91,2,1
2024/05/26,17:40,0,1,01F0584N,01F0557N,5,82,1,1
2024/05/26,17:40,0,1,01F0633N,01F0584N,31,90,195,1
2024/05/26,17:40,0,1,01F0633N,01F0584N,32,88,38,1
2024/05/26,17:40,0,1,01F0633N,01F0584N,41,77,4,1
2024/05/26,17:40,0,1,01F0633N,01F0584N,42,79,6,1
2024/05/26,17:40,0,1,01F0633N,01F0584N,5,75,1,1
2024/05/26,17:40,0,1,01F0578S,01F0633S,31,90,179,1
2024/05/26,17:40,0,1,01F0578S,01F0633S,32,90,34,1
2024/05/26,17:40,0,1,01F0578S,01F0633S,41,81,2,1
2024/05/26,17:40,0,1,01F0578S,01F0633S,42,82,1,1
2024/05/26,17:40,0,1,01F0578S,01F0633S,5,72,1,1
2024/05/26,17:40,0,1,01F0633S,01F0664S,31,93,186,1
2024/05/26,17:40,0,1,01F0633S,01F0664S,32,93,25,1
2024/05/26,17:40,0,1,01F0633S,01F0664S,41,72,1,1
2024/05/26,17:40,0,1,01F0633S,01F0664S,42,86,1,1
2024/05/26,17:40,0,1,01F0633S,01F0664S,5,86,1,1
2024/05/26,17:40,0,1,01F0633N,01H0579N,31,82,50,1
2024/05/26,17:40,0,1,01F0633N,01H0579N,32,82,10,1
2024/05/26,17:40,0,1,01F0633N,01H0579N,41,0,0,1
2024/05/26,17:40,0,1,01F0633N,01H0579N,42,0,0,1
2024/05/26,17:40,0,1,01F0633N,01H0579N,5,0,0,1
2024/05/26,17:40,0,1,01F0578S,01H0610S,31,82,53,1
2024/05/26,17:40,0,1,01F0578S,01H0610S,32,79,10,1
2024/05/26,17:40,0,1,01F0578S,01H0610S,41,79,3,1
2024/05/26,17:40,0,1,01F0578S,01H0610S,42,0,0,1
2024/05/26,17:40,0,1,01F0578S,01H0610S,5,0,0,1
2024/05/26,17:45,0,1,01F0584N,01F0557N,31,90,234,1
2024/05/26,17:45,0,1,01F0584N,01F0557N,32,86,41,1
2024/05/26,17:45,0,1,01F0584N,01F0557N,41,82,5,1
2024/05/26,17:45,0,1,01F0584N,01F0557N,42,88,4,1
2024/05/26,17:45,0,1,01F0584N,01F0557N,5,81,2,1
2024/05/26,17:45,0,1,01F0633N,01F0584N,31,90,180,1
2024/05/26,17:45,0,1,01F0633N,01F0584N,32,86,41,1
2024/05/26,17:45,0,1,01F0633N,01F0584N,41,90,1,1
2024/05/26,17:45,0,1,01F0633N,01F0584N,42,84,2,1
2024/05/26,17:45,0,1,01F0633N,01F0584N,5,68,1,1
2024/05/26,17:45,0,1,01F0578S,01F0633S,31,90,147,1
2024/05/26,17:45,0,1,01F0578S,01F0633S,32,90,41,1
2024/05/26,17:45,0,1,01F0578S,01F0633S,41,86,1,1
2024/05/26,17:45,0,1,01F0578S,01F0633S,42,0,0,1
2024/05/26,17:45,0,1,01F0578S,01F0633S,5,82,5,1
2024/05/26,17:45,0,1,01F0633S,01F0664S,31,90,195,1
2024/05/26,17:45,0,1,01F0633S,01F0664S,32,91,36,1
2024/05/26,17:45,0,1,01F0633S,01F0664S,41,81,2,1
2024/05/26,17:45,0,1,01F0633S,01F0664S,42,86,1,1
2024/05/26,17:45,0,1,01F0633S,01F0664S,5,75,3,1
2024/05/26,17:45,0,1,01F0633N,01H0579N,31,84,54,1
2024/05/26,17:45,0,1,01F0633N,01H0579N,32,82,16,1
2024/05/26,17:45,0,1,01F0633N,01H0579N,41,0,0,1
2024/05/26,17:45,0,1,01F0633N,01H0579N,42,0,0,1
2024/05/26,17:45,0,1,01F0633N,01H0579N,5,0,0,1
2024/05/26,17:45,0,1,01F0578S,01H0610S,31,86,43,1
2024/05/26,17:45,0,1,01F0578S,01H0610S,32,82,11,1
2024/05/26,17:45,0,1,01F0578S,01H0610S,41,86,3,1
2024/05/26,17:45,0,1,01F0578S,01H0610S,42,0,0,1
2024/05/26,17:45,0,1,01F0578S,01H0610S,5,0,0,1
2024/05/26,17:50,0,1,01F0584N,01F0557N,31,93,233,1
2024/05/26,17:50,0,1,01F0584N,01F0557N,32,90,38,1
2024/05/26,17:50,0,1,01F0584N,01F0557N,41,90,11,1
2024/05/26,17:50,0,1,01F0584N,01F0557N,42,90,3,1
2024/05/26,17:50,0,1,01F0584N,01F0557N,5,79,3,1
2024/05/26,17:50,0,1,01F0633N,01F0584N,31,86,203,1
2024/05/26,17:50,0,1,01F0633N,01F0584N,32,86,33,1
2024/05/26,17:50,0,1,01F0633N,01F0584N,41,82,6,1
2024/05/26,17:50,0,1,01F0633N,01F0584N,42,79,3,1
2024/05/26,17:50,0,1,01F0633N,01F0584N,5,82,3,1
2024/05/26,17:50,0,1,01F0578S,01F0633S,31,90,166,1
2024/05/26,17:50,0,1,01F0578S,01F0633S,32,86,41,1
2024/05/26,17:50,0,1,01F0578S,01F0633S,41,81,2,1
2024/05/26,17:50,0,1,01F0578S,01F0633S,42,81,4,1
2024/05/26,17:50,0,1,01F0578S,01F0633S,5,75,1,1
2024/05/26,17:50,0,1,01F0633S,01F0664S,31,93,196,1
2024/05/26,17:50,0,1,01F0633S,01F0664S,32,90,37,1
2024/05/26,17:50,0,1,01F0633S,01F0664S,41,90,1,1
2024/05/26,17:50,0,1,01F0633S,01F0664S,42,82,2,1
2024/05/26,17:50,0,1,01F0633S,01F0664S,5,82,5,1
2024/05/26,17:50,0,1,01F0633N,01H0579N,31,86,35,1
2024/05/26,17:50,0,1,01F0633N,01H0579N,32,86,9,1
2024/05/26,17:50,0,1,01F0633N,01H0579N,41,0,0,1
2024/05/26,17:50,0,1,01F0633N,01H0579N,42,0,0,1
2024/05/26,17:50,0,1,01F0633N,01H0579N,5,0,0,1
